"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 24 10:26:32 AST 2023","Sun Sep 24 10:26:33 AST 2023","1286","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","ClickingBlogMenuItemOpensBlogPage","ClickingBlogMenuItemOpensBlogPage",""
"passed","Sun Sep 24 10:26:24 AST 2023","Sun Sep 24 10:26:24 AST 2023","29","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","verifyLogoItemIsDisplayed","verifyLogoItemIsDisplayed",""
"failed","Sun Sep 24 10:27:11 AST 2023","Sun Sep 24 10:27:11 AST 2023","54","Practice Suite","Home Page Test","HomePageTest.StatisticsSectionTest","HomePageTest.StatisticsSectionTest","imageIconSessionDurationTest","imageIconSessionDurationTest",""
"passed","Sun Sep 24 10:26:34 AST 2023","Sun Sep 24 10:26:34 AST 2023","30","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","academyMenuItemHrefIsCorrect","academyMenuItemHrefIsCorrect",""
"passed","Sun Sep 24 10:27:10 AST 2023","Sun Sep 24 10:27:10 AST 2023","21","Practice Suite","Home Page Test","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","verifyCard_3_HeadTextIsCorrect","verifyCard_3_HeadTextIsCorrect",""
"passed","Sun Sep 24 10:27:01 AST 2023","Sun Sep 24 10:27:01 AST 2023","100","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","ClickingJoinAsSpecialistFormCloseHiddenEnterInformationForm","ClickingJoinAsSpecialistFormCloseHiddenEnterInformationForm",""
"passed","Sun Sep 24 10:28:05 AST 2023","Sun Sep 24 10:28:05 AST 2023","21","Practice Suite","Blog Page Test","BlogPageTest","BlogPageTest","verifySliderIndexOneIsDisplayed","verifySliderIndexOneIsDisplayed",""
"passed","Sun Sep 24 10:27:19 AST 2023","Sun Sep 24 10:27:22 AST 2023","2658","Practice Suite","Join As Specialist Form Test","JoinAsSpecialistTest","JoinAsSpecialistTest","testJoinAsSpecialist","testJoinAsSpecialist",""
"passed","Sun Sep 24 10:26:54 AST 2023","Sun Sep 24 10:26:55 AST 2023","743","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","verifyBackFormAcademyPageToHomePage","verifyBackFormAcademyPageToHomePage",""
"passed","Sun Sep 24 10:26:18 AST 2023","Sun Sep 24 10:26:24 AST 2023","6433","Practice Suite","Set Up Driver","HomePageTest.SetUpDriver","HomePageTest.SetUpDriver","setUp","setUp",""
"passed","Sun Sep 24 10:28:47 AST 2023","Sun Sep 24 10:28:47 AST 2023","45","Practice Suite","Academy Page Test","AcademyPageTest","AcademyPageTest","verifyRegistrationHeroSectionIsDisplayed","verifyRegistrationHeroSectionIsDisplayed",""
"passed","Sun Sep 24 10:27:49 AST 2023","Sun Sep 24 10:27:55 AST 2023","6033","Practice Suite","Specialists Page Test","SpecialistsPageTest","SpecialistsPageTest","verifySearchNotExistSpecialistNameDoesNotDisplayResult","verifySearchNotExistSpecialistNameDoesNotDisplayResult",""
"passed","Sun Sep 24 10:29:06 AST 2023","Sun Sep 24 10:29:06 AST 2023","22","Practice Suite","Academy Page Test","AcademyPageTest","AcademyPageTest","verifyCoursesNavbarItemIsDisplayed","verifyCoursesNavbarItemIsDisplayed",""
"passed","Sun Sep 24 10:28:19 AST 2023","Sun Sep 24 10:28:21 AST 2023","1810","Practice Suite","Blog Page Test","BlogPageTest","BlogPageTest","ClickingDetailsButtonOpenArticlePage","ClickingDetailsButtonOpenArticlePage",""
"passed","Sun Sep 24 10:27:10 AST 2023","Sun Sep 24 10:27:10 AST 2023","21","Practice Suite","Home Page Test","HomePageTest.SpecialistsAndGuidesSectionTest","HomePageTest.SpecialistsAndGuidesSectionTest","scrollDownSection","scrollDownSection",""
"passed","Sun Sep 24 10:26:28 AST 2023","Sun Sep 24 10:26:28 AST 2023","20","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","specialistsMenuItemTextIsCorrect","specialistsMenuItemTextIsCorrect",""
"passed","Sun Sep 24 10:27:10 AST 2023","Sun Sep 24 10:27:10 AST 2023","28","Practice Suite","Home Page Test","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","verifyCard_4_HeadIsDisplayed","verifyCard_4_HeadIsDisplayed",""
"passed","Sun Sep 24 10:26:58 AST 2023","Sun Sep 24 10:26:58 AST 2023","26","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","aboutUsMenuItemIsDisplayed","aboutUsMenuItemIsDisplayed",""
"passed","Sun Sep 24 10:27:16 AST 2023","Sun Sep 24 10:27:16 AST 2023","139","Practice Suite","Join As Specialist Form Test","JoinAsSpecialistTest","JoinAsSpecialistTest","verifyClickingJoinAsSpecialistButtonOpensTheForm","verifyClickingJoinAsSpecialistButtonOpensTheForm",""
"passed","Sun Sep 24 10:27:17 AST 2023","Sun Sep 24 10:27:19 AST 2023","2695","Practice Suite","Join As Specialist Form Test","JoinAsSpecialistTest","JoinAsSpecialistTest","testJoinAsSpecialist","testJoinAsSpecialist",""
"passed","Sun Sep 24 10:27:01 AST 2023","Sun Sep 24 10:27:01 AST 2023","18","Practice Suite","Home Page Test","HomePageTest.HeroSectionTest","HomePageTest.HeroSectionTest","verifyHeroSectionParagraphTextIsCorrect","verifyHeroSectionParagraphTextIsCorrect",""
"passed","Sun Sep 24 10:26:31 AST 2023","Sun Sep 24 10:26:32 AST 2023","955","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","verifyBackFromSpecialistsPageToHomePage","verifyBackFromSpecialistsPageToHomePage",""
"passed","Sun Sep 24 10:28:05 AST 2023","Sun Sep 24 10:28:05 AST 2023","25","Practice Suite","Blog Page Test","BlogPageTest","BlogPageTest","verifySliderIndexOneDateIsDisplayed","verifySliderIndexOneDateIsDisplayed",""
"passed","Sun Sep 24 10:27:10 AST 2023","Sun Sep 24 10:27:10 AST 2023","20","Practice Suite","Home Page Test","HomePageTest.SpecialistsAndGuidesSectionTest","HomePageTest.SpecialistsAndGuidesSectionTest","verifySpecialistsAndGuidesSectionIsDisplayed","verify Specialists And Guides Section Is Displayed",""
"passed","Sun Sep 24 10:27:10 AST 2023","Sun Sep 24 10:27:10 AST 2023","17","Practice Suite","Home Page Test","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","verifyCard_2_HeadTextIsCorrect","verifyCard_2_HeadTextIsCorrect",""
"passed","Sun Sep 24 10:27:01 AST 2023","Sun Sep 24 10:27:08 AST 2023","7015","Practice Suite","Home Page Test","HomePageTest.HeroSectionTest","HomePageTest.HeroSectionTest","verifyClickingBookFirstSessionButtonOpensAppStore","verifyClickingBookFirstSessionButtonOpensAppStore",""
"passed","Sun Sep 24 10:29:15 AST 2023","Sun Sep 24 10:29:15 AST 2023","21","Practice Suite","Academy Page Test","AcademyPageTest","AcademyPageTest","verifyTitleHeroSectionCoursePageIsDisplayed","verifyTitleHeroSectionCoursePageIsDisplayed",""
"passed","Sun Sep 24 10:27:01 AST 2023","Sun Sep 24 10:27:01 AST 2023","28","Practice Suite","Home Page Test","HomePageTest.HeroSectionTest","HomePageTest.HeroSectionTest","verifyThatHeroSectionHeadTitleIsDisplayed","verifyThatHeroSectionHeadTitleIsDisplayed",""
"passed","Sun Sep 24 10:27:34 AST 2023","Sun Sep 24 10:27:34 AST 2023","24","Practice Suite","Specialists Page Test","SpecialistsPageTest","SpecialistsPageTest","verifyParagraphHeroSectionIsDisplayed","verifyParagraphHeroSectionIsDisplayed",""
"passed","Sun Sep 24 10:28:47 AST 2023","Sun Sep 24 10:28:47 AST 2023","17","Practice Suite","Academy Page Test","AcademyPageTest","AcademyPageTest","verifyLoginFormTitleTextIsCorrect","verifyLoginFormTitleTextIsCorrect",""
"passed","Sun Sep 24 10:27:10 AST 2023","Sun Sep 24 10:27:10 AST 2023","33","Practice Suite","Home Page Test","HomePageTest.SpecialistsAndGuidesSectionTest","HomePageTest.SpecialistsAndGuidesSectionTest","contactNowButtonHrefIsCorrect","contactNowButtonHrefIsCorrect",""
"passed","Sun Sep 24 10:26:28 AST 2023","Sun Sep 24 10:26:28 AST 2023","26","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","specialistsMenuItemIsDisplayed","specialistsMenuItemIsDisplayed",""
"passed","Sun Sep 24 10:27:10 AST 2023","Sun Sep 24 10:27:11 AST 2023","51","Practice Suite","Home Page Test","HomePageTest.StatisticsSectionTest","HomePageTest.StatisticsSectionTest","satisfactionRateTest","satisfactionRateTest",""
"passed","Sun Sep 24 10:28:43 AST 2023","Sun Sep 24 10:28:43 AST 2023","192","Practice Suite","Academy Page Test","AcademyPageTest","AcademyPageTest","verifyAcademyPageHeroSectionTitleIsDisplayed","verifyAcademyPageHeroSectionTitleIsDisplayed",""
"passed","Sun Sep 24 10:29:15 AST 2023","Sun Sep 24 10:29:15 AST 2023","23","Practice Suite","Academy Page Test","AcademyPageTest","AcademyPageTest","verifyHeaderSearchButtonIsDisplayed","verifyHeaderSearchButtonIsDisplayed",""
"passed","Sun Sep 24 10:27:11 AST 2023","Sun Sep 24 10:27:11 AST 2023","44","Practice Suite","Home Page Test","HomePageTest.StatisticsSectionTest","HomePageTest.StatisticsSectionTest","numberOfSessionDuration","numberOfSessionDuration",""
"passed","Sun Sep 24 10:26:58 AST 2023","Sun Sep 24 10:26:58 AST 2023","23","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","aboutUsMenuItemHrefIsCorrect","aboutUsMenuItemHrefIsCorrect",""
"passed","Sun Sep 24 10:28:47 AST 2023","Sun Sep 24 10:28:47 AST 2023","22","Practice Suite","Academy Page Test","AcademyPageTest","AcademyPageTest","verifyLoginFormTitleIsDisplayed","verifyLoginFormTitleIsDisplayed",""
"passed","Sun Sep 24 10:27:09 AST 2023","Sun Sep 24 10:27:10 AST 2023","31","Practice Suite","Home Page Test","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","verifyCard_1_HeadIsDisplayed","verifyCard_1_HeadIsDisplayed",""
"passed","Sun Sep 24 10:28:11 AST 2023","Sun Sep 24 10:28:13 AST 2023","1600","Practice Suite","Blog Page Test","BlogPageTest","BlogPageTest","ClickingSliderIndexOneBlogPostAuthorNameOpenHisPage","ClickingSliderIndexOneBlogPostAuthorNameOpenHisPage",""
"passed","Sun Sep 24 10:27:42 AST 2023","Sun Sep 24 10:27:49 AST 2023","6706","Practice Suite","Specialists Page Test","SpecialistsPageTest","SpecialistsPageTest","verifySearchNotExistSpecialistNameDoesNotDisplayResult","verifySearchNotExistSpecialistNameDoesNotDisplayResult",""
"passed","Sun Sep 24 10:27:17 AST 2023","Sun Sep 24 10:27:17 AST 2023","24","Practice Suite","Join As Specialist Form Test","JoinAsSpecialistTest","JoinAsSpecialistTest","verifySendFormButtonFormIsDisplayed","verifySendFormButtonFormIsDisplayed",""
"passed","Sun Sep 24 10:27:00 AST 2023","Sun Sep 24 10:27:00 AST 2023","40","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","verifyAboutUsMenuItemIsActiveClassAfterClick","verifyAboutUsMenuItemIsActiveClassAfterClick",""
"passed","Sun Sep 24 10:28:05 AST 2023","Sun Sep 24 10:28:05 AST 2023","22","Practice Suite","Blog Page Test","BlogPageTest","BlogPageTest","verifySliderIndexOneDateTextIsCorrect","verifySliderIndexOneDateTextIsCorrect",""
"passed","Sun Sep 24 10:28:55 AST 2023","Sun Sep 24 10:29:06 AST 2023","10482","Practice Suite","Academy Page Test","AcademyPageTest","AcademyPageTest","testSuccessLoginAcademyForm","testSuccessLoginAcademyForm",""
"passed","Sun Sep 24 10:28:13 AST 2023","Sun Sep 24 10:28:13 AST 2023","24","Practice Suite","Blog Page Test","BlogPageTest","BlogPageTest","verifySliderIndexOneBlogPostAuthorSpecializationIsDisplayed","verifySliderIndexOneBlogPostAuthorSpecializationIsDisplayed",""
"passed","Sun Sep 24 10:28:09 AST 2023","Sun Sep 24 10:28:09 AST 2023","27","Practice Suite","Blog Page Test","BlogPageTest","BlogPageTest","verifySliderIndexOneParagraphTextIsCorrect","verifySliderIndexOneParagraphTextIsCorrect",""
"passed","Sun Sep 24 10:26:32 AST 2023","Sun Sep 24 10:26:32 AST 2023","27","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","blogMenuItemIsDisplayed","blogMenuItemIsDisplayed",""
"passed","Sun Sep 24 10:28:05 AST 2023","Sun Sep 24 10:28:06 AST 2023","17","Practice Suite","Blog Page Test","BlogPageTest","BlogPageTest","verifySliderIndexOneCategoryTextIsCorrect","verifySliderIndexOneCategoryTextIsCorrect",""
"passed","Sun Sep 24 10:27:10 AST 2023","Sun Sep 24 10:27:10 AST 2023","19","Practice Suite","Home Page Test","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","verifyCard_1_HeadTextIsCorrect","verifyCard_1_HeadTextIsCorrect",""
"unknown","Sun Sep 24 10:26:24 AST 2023","Sun Sep 24 10:26:24 AST 2023","0","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","verifyAcademyMenuItemAfterClickHideNavbar","verifyAcademyMenuItemAfterClickHideNavbar",""
"passed","Sun Sep 24 10:26:58 AST 2023","Sun Sep 24 10:26:58 AST 2023","18","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","aboutUsMenuItemTextIsCorrect","aboutUsMenuItemTextIsCorrect",""
"passed","Sun Sep 24 10:29:15 AST 2023","Sun Sep 24 10:29:18 AST 2023","2365","Practice Suite","Academy Page Test","AcademyPageTest","AcademyPageTest","enterValidFormatCourseNameDisplaysAtLeastOne","enterValidFormatCourseNameDisplaysAtLeastOne",""
"passed","Sun Sep 24 10:26:33 AST 2023","Sun Sep 24 10:26:33 AST 2023","34","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","verifyBlogMenuItemIsActiveClassAfterClick","verifyBlogMenuItemIsActiveClassAfterClick",""
"passed","Sun Sep 24 10:28:06 AST 2023","Sun Sep 24 10:28:06 AST 2023","25","Practice Suite","Blog Page Test","BlogPageTest","BlogPageTest","verifySliderIndexOneTitleIsDisplayed","verifySliderIndexOneTitleIsDisplayed",""
"passed","Sun Sep 24 10:27:09 AST 2023","Sun Sep 24 10:27:09 AST 2023","22","Practice Suite","Home Page Test","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","scrollDownSection","scrollDownSection",""
"passed","Sun Sep 24 10:27:01 AST 2023","Sun Sep 24 10:27:01 AST 2023","23","Practice Suite","Home Page Test","HomePageTest.HeroSectionTest","HomePageTest.HeroSectionTest","verifyHeroSectionImageAltIsCorrect","verifyHeroSectionImageAltIsCorrect",""
"passed","Sun Sep 24 10:27:27 AST 2023","Sun Sep 24 10:27:33 AST 2023","6189","Practice Suite","Specialists Page Test","SpecialistsPageTest","SpecialistsPageTest","NavigateToSpecialistsPage","NavigateToSpecialistsPage",""
"passed","Sun Sep 24 10:27:08 AST 2023","Sun Sep 24 10:27:09 AST 2023","950","Practice Suite","Home Page Test","HomePageTest.HeroSectionTest","HomePageTest.HeroSectionTest","verifyBackFromAppStorePageToHomePage","verifyBackFromAppStorePageToHomePage",""
"passed","Sun Sep 24 10:27:01 AST 2023","Sun Sep 24 10:27:01 AST 2023","27","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","joinAsSpecialistButtonIsDisplayed","joinAsSpecialistButtonIsDisplayed",""
"passed","Sun Sep 24 10:27:27 AST 2023","Sun Sep 24 10:27:27 AST 2023","48","Practice Suite","Specialists Page Test","SpecialistsPageTest","SpecialistsPageTest","scrollDownSection","scrollDownSection",""
"passed","Sun Sep 24 10:26:58 AST 2023","Sun Sep 24 10:26:58 AST 2023","686","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","verifyBackFormOrganizationsPageToHomePage","verifyBackFormOrganizationsPageToHomePage",""
"passed","Sun Sep 24 10:26:33 AST 2023","Sun Sep 24 10:26:34 AST 2023","691","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","verifyBackFormBlogPageToHomePage","verifyBackFormBlogPageToHomePage",""
"passed","Sun Sep 24 10:27:16 AST 2023","Sun Sep 24 10:27:16 AST 2023","39","Practice Suite","Join As Specialist Form Test","JoinAsSpecialistTest","JoinAsSpecialistTest","verifyJoinAsSpecialistButtonIsDisplayed","verifyJoinAsSpecialistButtonIsDisplayed",""
"passed","Sun Sep 24 10:27:34 AST 2023","Sun Sep 24 10:27:34 AST 2023","25","Practice Suite","Specialists Page Test","SpecialistsPageTest","SpecialistsPageTest","verifyHeadTitleHeroSectionIsDisplayed","verifyHeadTitleHeroSectionIsDisplayed",""
"passed","Sun Sep 24 10:26:32 AST 2023","Sun Sep 24 10:26:32 AST 2023","23","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","blogMenuItemHrefIsCorrect","blogMenuItemHrefIsCorrect",""
"passed","Sun Sep 24 10:27:09 AST 2023","Sun Sep 24 10:27:09 AST 2023","198","Practice Suite","Home Page Test","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","verifyApprovedOfficialAuthoritiesSectionIsDisplayed","verify Approved Official Authorities Section Is Displayed",""
"passed","Sun Sep 24 10:26:28 AST 2023","Sun Sep 24 10:26:31 AST 2023","2546","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","ClickingSpecialistsMenuItemOpensSpecialistsPage","ClickingSpecialistsMenuItemOpensSpecialistsPage",""
"passed","Sun Sep 24 10:28:43 AST 2023","Sun Sep 24 10:28:47 AST 2023","4317","Practice Suite","Academy Page Test","AcademyPageTest","AcademyPageTest","NavigateToRegistrationPage","NavigateToRegistrationPage",""
"passed","Sun Sep 24 10:27:10 AST 2023","Sun Sep 24 10:27:10 AST 2023","31","Practice Suite","Home Page Test","HomePageTest.SpecialistsAndGuidesSectionTest","HomePageTest.SpecialistsAndGuidesSectionTest","contactNowButtonIsDisplayed","contactNowButtonIsDisplayed",""
"passed","Sun Sep 24 10:26:26 AST 2023","Sun Sep 24 10:26:26 AST 2023","27","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","verifyFamcareMenuItemTextIsCorrect","verifyFamcareMenuItemTextIsCorrect",""
"passed","Sun Sep 24 10:27:17 AST 2023","Sun Sep 24 10:27:17 AST 2023","27","Practice Suite","Join As Specialist Form Test","JoinAsSpecialistTest","JoinAsSpecialistTest","verifyYearsOfExperienceFieldIsDisplayed","verifyYearsOfExperienceFieldIsDisplayed",""
"passed","Sun Sep 24 10:27:17 AST 2023","Sun Sep 24 10:27:17 AST 2023","24","Practice Suite","Join As Specialist Form Test","JoinAsSpecialistTest","JoinAsSpecialistTest","verifySocialMediaAccountFieldIsDisplayed","verifySocialMediaAccountFieldIsDisplayed",""
"passed","Sun Sep 24 10:26:24 AST 2023","Sun Sep 24 10:26:26 AST 2023","1682","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","verifyClickingLogoItemOpensHomePage","verifyClickingLogoItemOpensHomePage",""
"passed","Sun Sep 24 10:27:01 AST 2023","Sun Sep 24 10:27:01 AST 2023","26","Practice Suite","Home Page Test","HomePageTest.HeroSectionTest","HomePageTest.HeroSectionTest","verifyThatHeroSectionParagraphIsDisplayed","verifyThatHeroSectionParagraphIsDisplayed",""
"passed","Sun Sep 24 10:26:26 AST 2023","Sun Sep 24 10:26:26 AST 2023","40","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","verifyFamcareMenuItemIsActiveClass","verifyFamcareMenuItemIsActiveClass",""
"passed","Sun Sep 24 10:27:10 AST 2023","Sun Sep 24 10:27:10 AST 2023","25","Practice Suite","Home Page Test","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","verifyCard_3_ImageSrcIsCorrect","verifyCard_3_ImageSrcIsCorrect",""
"passed","Sun Sep 24 10:27:01 AST 2023","Sun Sep 24 10:27:01 AST 2023","20","Practice Suite","Home Page Test","HomePageTest.HeroSectionTest","HomePageTest.HeroSectionTest","verifyHeroSectionImageSrcIsCorrect","verifyHeroSectionImageSrcIsCorrect",""
"passed","Sun Sep 24 10:27:01 AST 2023","Sun Sep 24 10:27:01 AST 2023","26","Practice Suite","Home Page Test","HomePageTest.HeroSectionTest","HomePageTest.HeroSectionTest","verifyThatHeroSectionImageIsDisplayed","verifyThatHeroSectionImageIsDisplayed",""
"passed","Sun Sep 24 10:28:09 AST 2023","Sun Sep 24 10:28:11 AST 2023","2375","Practice Suite","Blog Page Test","BlogPageTest","BlogPageTest","ClickingSliderIndexOnePostAuthorImageOpenHisPage","ClickingSliderIndexOnePostAuthorImageOpenHisPage",""
"passed","Sun Sep 24 10:27:10 AST 2023","Sun Sep 24 10:27:10 AST 2023","26","Practice Suite","Home Page Test","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","verifyCard_4_ImageIsDisplayed","verifyCard_4_ImageIsDisplayed",""
"passed","Sun Sep 24 10:26:58 AST 2023","Sun Sep 24 10:27:00 AST 2023","2117","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","ClickingAboutUsMenuItemOpensAboutUsPage","ClickingAboutUsMenuItemOpensAboutUsPage",""
"passed","Sun Sep 24 10:28:05 AST 2023","Sun Sep 24 10:28:05 AST 2023","120","Practice Suite","Blog Page Test","BlogPageTest","BlogPageTest","verifySliderSectionIsDisplayed","verifySliderSectionIsDisplayed",""
"passed","Sun Sep 24 10:26:32 AST 2023","Sun Sep 24 10:26:32 AST 2023","18","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","blogMenuItemTextIsCorrect","blogMenuItemTextIsCorrect",""
"passed","Sun Sep 24 10:27:11 AST 2023","Sun Sep 24 10:27:11 AST 2023","51","Practice Suite","Home Page Test","HomePageTest.StatisticsSectionTest","HomePageTest.StatisticsSectionTest","paragraphRateTest","paragraphRateTest",""
"passed","Sun Sep 24 10:27:34 AST 2023","Sun Sep 24 10:27:34 AST 2023","25","Practice Suite","Specialists Page Test","SpecialistsPageTest","SpecialistsPageTest","verifySearchNameFiledPlaceholderIsCorrect","verifySearchNameFiledPlaceholderIsCorrect",""
"passed","Sun Sep 24 10:27:10 AST 2023","Sun Sep 24 10:27:10 AST 2023","29","Practice Suite","Home Page Test","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","verifyCard_2_HeadIsDisplayed","verifyCard_2_HeadIsDisplayed",""
"failed","Sun Sep 24 10:27:10 AST 2023","Sun Sep 24 10:27:10 AST 2023","18","Practice Suite","Home Page Test","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","verifyCard_4_ImageAltIsCorrect","verifyCard_4_ImageAltIsCorrect",""
"failed","Sun Sep 24 10:27:41 AST 2023","Sun Sep 24 10:27:42 AST 2023","1433","Practice Suite","Specialists Page Test","SpecialistsPageTest","SpecialistsPageTest","verifySearchNotExistSpecialistNameDoesNotDisplayResult","verifySearchNotExistSpecialistNameDoesNotDisplayResult",""
"passed","Sun Sep 24 10:28:17 AST 2023","Sun Sep 24 10:28:19 AST 2023","1954","Practice Suite","Blog Page Test","BlogPageTest","BlogPageTest","ClickingSliderIndexOneBlogPostShareTwitterIconOpenShareTwitterPostPage","ClickingSliderIndexOneBlogPostShareTwitterIconOpenShareTwitterPostPage",""
"passed","Sun Sep 24 10:26:31 AST 2023","Sun Sep 24 10:26:31 AST 2023","29","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","verifySpecialistsMenuItemIsActiveClassAfterClick","verifySpecialistsMenuItemIsActiveClassAfterClick",""
"passed","Sun Sep 24 10:29:18 AST 2023","Sun Sep 24 10:29:18 AST 2023","0","Practice Suite","tear down","HomePageTest.TearDown","HomePageTest.TearDown","tearDown","tearDown",""
"passed","Sun Sep 24 10:27:16 AST 2023","Sun Sep 24 10:27:16 AST 2023","24","Practice Suite","Join As Specialist Form Test","JoinAsSpecialistTest","JoinAsSpecialistTest","verifyFullNameFiledPlaceholderIsCorrect","verifyFullNameFiledPlaceholderIsCorrect",""
"passed","Sun Sep 24 10:27:09 AST 2023","Sun Sep 24 10:27:09 AST 2023","29","Practice Suite","Home Page Test","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","verifyCard_1_ImageIsDisplayed","verifyCard_1_ImageIsDisplayed",""
